DISTRITO,mean,percentile_10,variabilidad
CAPAZO,-5.191071134000211,-6.462653160095215,1.271582026095004
SUSAPAYA,-5.157803344726562,-8.50607671737671,3.348273372650147
TARATA,-4.99573587690081,-6.65741195678711,1.6616760798863002
TICACO,-4.41739467274059,-6.33153018951416,1.9141355167735696
SAN ANTONIO DE CHUCA,-4.390305680495042,-5.283103656768799,0.8927979762737568
CANDARAVE,-4.359306534476902,-6.957934093475342,2.59862755899844
CONDOROMA,-4.122946506076389,-4.7074706077575685,0.58452410168118
PARATIA,-4.094574913611779,-4.719643020629883,0.6250681070181043
CARUMAS,-3.411974711357793,-6.083051776885986,2.671077065528193
SAN JUAN DE TARUCANI,-3.343182144165039,-4.669331741333008,1.3261495971679689
TUTI,-3.25811903817313,-3.8142739295959474,0.5561548914228172
PISACOMA,-3.248724688905658,-4.733944320678711,1.4852196317730533
AJOYANI,-3.141027245154748,-3.7416414260864257,0.6006141809316778
CALLALLI,-3.001007843017578,-4.424046039581299,1.4230381965637209
CORANI,-2.956277419581558,-4.697815322875977,1.741537903294419
